origin,destination,count
ABE,ATL,156
ABE,CLE,146
ABE,CLT,60
ABE,CVG,39
ABE,DTW,164
ABE,JFK,1
ABE,LGA,1
ABE,ORD,224
ABI,DFW,464
ABQ,AMA,60
ABQ,ATL,137
ABQ,AUS,106
ABQ,BWI,60
ABQ,CVG,39
ABQ,DAL,491
ABQ,DEN,484
ABQ,DFW,244
ABQ,ELP,157
ABQ,EWR,16
ABQ,HOU,158
ABQ,IAD,60
ABQ,IAH,260
ABQ,LAS,389
ABQ,LAX,393
ABQ,LBB,60
ABQ,MAF,60
ABQ,MCI,114
ABQ,MCO,120
ABQ,MDW,120
ABQ,MSP,81
ABQ,OAK,165
ABQ,OKC,57
ABQ,ONT,106
ABQ,ORD,31
ABQ,PDX,60
ABQ,PHX,928
ABQ,SAN,179
ABQ,SAT,107
ABQ,SEA,119
ABQ,SFO,66
ABQ,SLC,377
ABQ,SMF,113
ABQ,STL,60
ABQ,TPA,60
ABQ,TUL,58
ABQ,TUS,121
ABY,ATL,205
ACT,DFW,403
ACV,CEC,59
ACV,MRY,2
ACV,SFO,417
ACV,SJC,1
ACV,SMF,102
ACY,ATL,59
ACY,JFK,1
ACY,LGA,1
ADK,ANC,9
ADQ,ANC,62
AEX,ATL,165
AEX,DFW,180
AEX,IAH,56
AGS,ATL,365
ALB,ATL,215
ALB,BWI,395
ALB,CLE,178
ALB,CLT,164
ALB,CVG,161
ALB,DCA,60
ALB,DTW,174
ALB,EWR,168
ALB,JFK,2
ALB,LAS,60
ALB,MCO,179
ALB,MDW,120
ALB,MSP,23
ALB,ORD,294
ALB,PHL,60
ALB,SBN,1
ALB,TPA,60
ALO,MSP,52
AMA,ABQ,60
AMA,DAL,440
AMA,DEN,119
AMA,DFW,421
AMA,IAH,114
AMA,LAS,60
ANC,ADK,9
ANC,ADQ,62
ANC,BET,88
ANC,CDV,31
ANC,DEN,17
ANC,FAI,310
ANC,HNL,31
ANC,IAH,6
ANC,JNU,93
ANC,LAS,33
ANC,MSP,82
ANC,OME,31
ANC,ORD,31
ANC,OTZ,61
ANC,PDX,31
ANC,PHX,60
ANC,SCC,31
ANC,SEA,408
ANC,SLC,46
ASE,ATL,2
ASE,DEN,865
ASE,LAX,119
ASE,MSN,1
ASE,ORD,185
ASE,PHX,65
ASE,RFD,1
ASE,SFO,33
ASE,SLC,178
ATL,ABE,155
ATL,ABQ,138
ATL,ABY,205
ATL,ACY,60
ATL,AEX,165
ATL,AGS,366
ATL,ALB,215
ATL,ASE,2
ATL,ATW,157
ATL,AUS,374
ATL,AVL,192
ATL,AVP,139
ATL,BDL,263
ATL,BGR,55
ATL,BHM,374
ATL,BMI,409
ATL,BNA,408
ATL,BOS,747
ATL,BQK,127
ATL,BTR,469
ATL,BTV,54
ATL,BUF,548
ATL,BWI,781
ATL,BZN,8
ATL,CAE,419
ATL,CAK,617
ATL,CHA,328
ATL,CHO,142
ATL,CHS,606
ATL,CID,61
ATL,CLE,436
ATL,CLT,1130
ATL,CMH,190
ATL,COS,107
ATL,CRP,5
ATL,CRW,218
ATL,CSG,230
ATL,CVG,397
